Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
WMT,"Wal-Mart Stores",94.06,-1.75,-1.83%,95.43,93.1,6082998,"14:47 ET"
WRK,"Westrock Company",45.64,-0.87,-1.87%,45.91,44.97,1262684,"14:47 ET"
WU,"Western Union Company",18.23,-0.13,-0.71%,18.38,18,3473321,"14:47 ET"
WY,"Weyerhaeuser Company",26.26,1.14,+4.54%,26.41,24.72,6029335,"14:47 ET"
WYNN,"Wynn Resorts Ltd",110.52,0.16,+0.14%,112.31,104.18,2680255,"14:47 ET"
XEC,"Cimarex Energy Co",74.25,-6.67,-8.24%,80.08,73.01,1789453,"14:46 ET"
XEL,"XCEL Energy Inc",52.72,-0.11,-0.21%,53.27,51.97,3058048,"14:47 ET"
XLNX,"Xilinx Inc",87.46,-3.83,-4.20%,88.77,85.91,2865322,"14:47 ET"
XOM,"Exxon Mobil Corp",77.07,-2.36,-2.97%,78.14,76.92,11884563,"14:47 ET"
XRAY,"Dentsply Sirona Inc",36.02,-0.79,-2.15%,36.5,35.6,2239908,"14:47 ET"
XRX,"Xerox Corp",26.15,-0.55,-2.06%,26.42,25.88,2379460,"14:47 ET"
XYL,"Xylem Inc",65.94,-2.1,-3.09%,66.81,65.01,1137977,"14:46 ET"
YUM,"Yum! Brands",90.69,0.0099999999999909,+0.01%,92,89.59,1932417,"14:47 ET"
ZBH,"Zimmer Biomet Holdings",110.9,-1.09,-0.97%,111.68,108.88,683038,"14:46 ET"
ZION,"Zions Bancorporation",45.02,-0.87,-1.90%,45.59,44.55,1930174,"14:47 ET"
ZTS,"Zoetis Inc Class A",88.79,-1.78,-1.97%,90.29,87.5,1472054,"14:47 ET"
"Downloaded from Barchart.com as of 12-06-2018 01:47pm CST"
